OBJECTID,TREE_Genus,TREE_SpeciesCommonName,TREE_SpeciesLatinName,TREE_DBH,TREE_DBH_Range,TREE_Height_Range,TREE_Stems,TREE_Condition,TREE_PrimaryMaint,TREE_SecondaryMaint,TREE_FurtherInspection,TREE_ClearanceNeed,TREE_PruneType,TREE_Pest,TREE_OBS1,TREE_OBS2,TREE_OBS3,TREE_OBS4,TREE_OBS5,TREE_OBS6,TREE_OBS7,TREE_OBS8,TREE_OBS9,TREE_OBS10,TREE_OBS11,TREE_OBS12,TREE_OBS13,TREE_Notes,SITE_Building,SITE_DirectionBldg,SITE_Address,SITE_Street,SITE_Utilities,SITE_GPSX,SITE_GPSY,SITE_ID,SITE_DATE,TYPE,TREE_OBS14,TREE_OBS15,TREE_OBS16,TREE_OBS17,TREE_OBS18,TREE_OBS19,TREE_OBS20,TREE_OBS21,TREE_SpCode,TREE_ReplacementCost,TREE_StructuralValue,TREE_Stormwater,TREE_Energy,TREE_AirQuality,TREE_Carbon,TREE_Aesthetic,TREE_TotalBenefit,x,y
504,Oak,Honey locust,Gleditsia triacanthos,3,2,0,1,1,0,0,,0,0,,,,,,,,,,,,,0,,,Eager Tennis Pavilion,4,892,Coliseum Way,,-99.708,32.4709,489,5/4/2014 16:26,0,,,,,,,,,GLTR,580,266.22,2.390000105,1.720000029,0.300000012,0.50999999,15.07999992,20.01000023,-99.70797618,32.47094851
505,Hickory,One-seeded juniper,Juniperus monosperma,12,4,1,1,2,0,1,,3,2,,,,,,,,,,,,,0,0,lean,Nelson Hall,2,,Campus Center Rd,0,-99.7084,32.4664,490,5/3/2014 20:59,0,,,1,0,0,0,0,,JUMO,9355,2862.63,14.18000031,6.949999809,4.059999943,1.74000001,9.029999733,35.97000122,-99.70836778,32.466357
506,Hickory,One-seeded juniper,Juniperus monosperma,10,3,1,1,2,0,0,,0,0,,,,,,,,,,,,,0,0,"lean, crook",Nelson Hall,3,,Campus Center Rd,0,-99.7083,32.4664,491,5/3/2014 20:59,0,,,0,0,0,0,0,,JUMO,6495,2981.205,5.869999886,2.559999943,1.570000052,0.680000007,6.869999886,17.54999924,-99.70831682,32.46642037
507,Oak,Live oak,Quercus virginiana,3,2,0,1,3,0,0,,0,0,,,,,,,,,1,,,,0,,Newly planted tree,Eager Tennis Pavilion,4,892,Coliseum Way,,-99.7081,32.4708,492,5/4/2014 16:26,0,,,,,,,,,QUVI,580,177.48,2.220000029,1.590000033,0.349999994,0.519999981,13.27000046,17.95000076,-99.70805396,32.47082857
508,Oak,Live oak,Quercus virginiana,3,2,0,1,1,0,0,,0,0,,,,,,,,,0,,,,0,,,Eager Tennis Pavilion,4,892,Coliseum Way,,-99.7079,32.4708,493,5/4/2014 16:26,0,,,,,,,,,QUVI,580,266.22,2.220000029,1.590000033,0.349999994,0.519999981,13.27000046,17.95000076,-99.70793058,32.47079689
509,Oak,Live oak,Quercus virginiana,3,2,0,1,1,0,0,,0,0,,,,,,,,,0,,,,0,,,Eager Tennis Pavilion,4,892,Coliseum Way,,-99.708,32.4704,494,5/4/2014 16:26,0,,,,,,,,,QUVI,580,236.64,2.220000029,1.590000033,0.349999994,0.519999981,13.27000046,17.95000076,-99.70802177,32.47041673
510,Crapemyrtle,Common crapemyrtle,Lagerstroemia spp,4,2,0,6,2,0,0,,0,0,,,,,,,,,0,,,,1,1,,Sikes Hall,2,934,NE 16th St,0,-99.7065,32.4659,495,5/3/2014 23:10,0,,,,0,1,,1,,LA6,1035,633.42,1.529999971,1.409999967,0.50999999,0.200000003,3.109999895,6.769999981,-99.70654656,32.46589988
511,Crapemyrtle,Common crapemyrtle,Lagerstroemia spp,5,2,0,5,2,0,0,,0,0,,,,,,,,,0,,,,1,1,,Sikes Hall,2,934,NE 16th St,0,-99.7065,32.4659,496,5/3/2014 23:10,0,,,,0,1,,1,,LA6,1620,991.44,1.529999971,1.409999967,0.50999999,0.200000003,3.109999895,6.769999981,-99.70651706,32.46589761
512,Crapemyrtle,Common crapemyrtle,Lagerstroemia spp,5,2,0,5,3,0,0,,0,0,,,,,,,,,1,,,,0,1,,Sikes Hall,2,934,NE 16th St,0,-99.7065,32.4659,497,5/3/2014 23:10,0,,,,0,1,,1,,LA6,1620,495.72,1.529999971,1.409999967,0.50999999,0.200000003,3.109999895,6.769999981,-99.70647682,32.46589761
513,Crapemyrtle,Common crapemyrtle,Lagerstroemia spp,5,2,0,4,3,0,0,,0,0,,,,,,,,,1,,,,0,1,,Sikes Hall,2,934,NE 16th St,0,-99.7064,32.4659,498,5/3/2014 23:10,0,,,,0,1,,1,,LA6,1620,495.72,1.529999971,1.409999967,0.50999999,0.200000003,3.109999895,6.769999981,-99.7064205,32.46589309
514,Baldcypress,Baldcypress,Taxodium distichum,4,2,0,1,1,4,0,,0,0,,,,,,,,,,,,,,,,Moody Coliseum,2,845,Coliseum Way,,-99.709,32.4701,499,5/4/2014 16:40,0,,,,,,,,,TADI,1035,450,2.390000105,1.720000029,0.300000012,0.50999999,15.07999992,20.01000023,-99.7089981,32.47008069
515,Crapemyrtle,Common crapemyrtle,Lagerstroemia spp,4,2,0,7,3,0,0,,0,0,,,,,,,,,1,,,,1,1,,Sikes Hall,2,934,NE 16th St,0,-99.7064,32.4659,500,5/3/2014 23:10,0,,,,0,1,,1,,LA6,1035,422.28,1.529999971,1.409999967,0.50999999,0.200000003,3.109999895,6.769999981,-99.70638831,32.46588177
516,Baldcypress,Baldcypress,Taxodium distichum,4,2,0,1,1,4,0,,0,0,,,,,,,,,,,,,,,,Moody Coliseum,2,845,Coliseum Way,,-99.709,32.47,501,5/4/2014 16:40,0,,,,,,,,,TADI,1035,475.065,2.390000105,1.720000029,0.300000012,0.50999999,15.07999992,20.01000023,-99.70902224,32.4700309
517,Crapemyrtle,Common crapemyrtle,Lagerstroemia spp,3,2,0,6,2,0,0,,0,0,,,,,,,,,0,,,,1,1,,Sikes Hall,2,934,NE 16th St,0,-99.7063,32.4659,502,5/3/2014 23:10,0,,,,0,1,,1,,LA6,580,354.96,1.529999971,1.409999967,0.50999999,0.200000003,3.109999895,6.769999981,-99.70633198,32.46588177
518,Baldcypress,Baldcypress,Taxodium distichum,5,2,0,1,1,4,0,,0,0,,,,,,,,,,,,,,,,Moody Coliseum,2,845,Coliseum Way,,-99.7091,32.47,503,5/4/2014 16:40,0,,,,,,,,,TADI,1620,743.58,2.390000105,1.720000029,0.300000012,0.50999999,15.07999992,20.01000023,-99.70908661,32.47004901
519,Crapemyrtle,Common crapemyrtle,Lagerstroemia spp,6,3,0,7,2,0,0,,0,0,,,,,,,,,0,,,,0,1,,Sikes Hall,2,934,NE 16th St,0,-99.7063,32.4659,504,5/3/2014 23:10,0,,,,0,1,,1,,LA6,2335,1071.765,4.710000038,3.839999914,1.389999986,0.660000026,8.539999962,19.13999939,-99.7062998,32.46589535
520,Crapemyrtle,Common crapemyrtle,Lagerstroemia spp,4,2,0,4,3,0,0,,0,0,,,,,,,,,1,,,,0,1,,Sikes Hall,2,934,NE 16th St,0,-99.7063,32.4659,505,5/3/2014 23:10,0,,,,0,1,,1,,LA6,1035,422.28,1.529999971,1.409999967,0.50999999,0.200000003,3.109999895,6.769999981,-99.7062542,32.46588177
521,Oak,Live oak,Quercus virginiana,25,6,1,1,2,1,0,,0,2,,,,,,,,,,,,,,,,Moody Coliseum,2,845,Coliseum Way,,-99.7091,32.47,506,5/4/2014 16:40,0,,,,,,,1,,QUVI,40620,18644.58,97.93000031,25.13999939,-14.35999966,7.909999847,104.8600006,221.4799957,-99.70914562,32.47000149
522,Crapemyrtle,Common crapemyrtle,Lagerstroemia spp,8,3,0,7,2,0,0,,0,0,,,,,,,,,0,,,,0,1,,Sikes Hall,2,934,NE 16th St,0,-99.7062,32.4659,507,5/3/2014 23:10,0,,,,0,1,,1,,LA6,4155,1907.145,4.710000038,3.839999914,1.389999986,0.660000026,8.539999962,19.13999939,-99.70623811,32.46592024
523,Oak,Live oak,Quercus virginiana,26,6,1,1,1,0,0,,0,0,,,,,,,,,,,,,,,,Moody Coliseum,2,845,Coliseum Way,,-99.7091,32.4699,508,5/4/2014 16:40,0,,,,,,,1,,QUVI,43935,20166.165,97.93000031,25.13999939,-14.35999966,7.909999847,104.8600006,221.4799957,-99.70910807,32.46993134
524,Crapemyrtle,Common crapemyrtle,Lagerstroemia spp,7,3,0,6,2,0,0,,0,0,,,,,,,,,0,,,,0,1,,Sikes Hall,2,934,NE 16th St,0,-99.7062,32.4659,509,5/3/2014 23:10,0,,,,0,1,,1,,LA6,3180,1946.16,4.710000038,3.839999914,1.389999986,0.660000026,8.539999962,19.13999939,-99.70617373,32.46588177
525,Oak,Live oak,Quercus virginiana,14,4,1,1,2,1,0,,0,2,,,,,,,,,,,,,,,,Moody Coliseum,2,845,Coliseum Way,,-99.7093,32.4699,510,5/4/2014 16:40,0,,,,1,,,1,,QUVI,12735,5845.365,30.86000061,11.31000042,-2.720000029,3.660000086,77.51999664,120.6299973,-99.70925291,32.46989513
526,Crapemyrtle,Common crapemyrtle,Lagerstroemia spp,10,3,0,6,4,4,0,,0,2,,,,,,,,,1,,,,0,1,,Sikes Hall,3,934,NE 16th St,0,-99.7062,32.4661,511,5/3/2014 23:10,0,,,,0,1,,1,,LA6,6495,1987.47,4.710000038,3.839999914,1.389999986,0.660000026,8.539999962,19.13999939,-99.70618178,32.46609223
527,Oak,Texas red oak,Quercus virginiana,12,4,1,1,2,0,0,,0,0,,,,,,,,,,,,,,,,Moody Coliseum,2,845,Coliseum Way,,-99.7093,32.4698,512,5/4/2014 16:40,0,,,1,0,,,1,1,QUVI,9355,5725.26,30.86000061,11.31000042,-2.720000029,3.660000086,77.51999664,120.6299973,-99.70931192,32.46983403
528,Crapemyrtle,Common crapemyrtle,Lagerstroemia spp,9,3,0,5,2,0,0,,0,0,,,,,,,,,0,,,,0,1,,Sikes Hall,3,934,NE 16th St,0,-99.7062,32.4661,513,5/3/2014 23:10,0,,,1,0,1,,1,,LA6,5260,2414.34,4.710000038,3.839999914,1.389999986,0.660000026,8.539999962,19.13999939,-99.70622201,32.46606734
529,Oak,Texas red oak,Quercus virginiana,5,2,1,1,1,0,0,,0,0,,,,,,,,,,,,,,,,Moody Coliseum,2,845,Coliseum Way,,-99.7094,32.4698,514,5/4/2014 16:40,0,,,1,0,,,1,1,QUVI,1620,743.58,2.220000029,1.590000033,0.349999994,0.519999981,13.27000046,17.95000076,-99.70940848,32.46978651
530,Crapemyrtle,Common crapemyrtle,Lagerstroemia spp,10,3,0,8,3,0,0,,0,0,,,,,,,,,1,,,,1,1,,Sikes Hall,3,934,NE 16th St,0,-99.7062,32.466,515,5/3/2014 23:10,0,,,0,0,1,,1,,LA6,6495,2649.96,4.710000038,3.839999914,1.389999986,0.660000026,8.539999962,19.13999939,-99.70624347,32.46603339
531,Oak,Texas red oak,Quercus virginiana,5,2,1,1,1,0,0,,0,0,,,,,,,,,,,,,,,,Moody Coliseum,2,845,Coliseum Way,,-99.7092,32.4697,516,5/4/2014 16:40,0,,,1,0,,,1,1,QUVI,1620,743.58,2.220000029,1.590000033,0.349999994,0.519999981,13.27000046,17.95000076,-99.70918854,32.46966884
532,Crapemyrtle,Common crapemyrtle,Lagerstroemia spp,8,3,0,6,3,0,0,,0,0,,,,,,,,,1,,,,1,1,,Sikes Hall,3,934,NE 16th St,0,-99.7063,32.466,517,5/3/2014 23:10,0,,,0,0,1,,1,,LA6,4155,1695.24,4.710000038,3.839999914,1.389999986,0.660000026,8.539999962,19.13999939,-99.7062837,32.46601303
533,Oak,Live oak,Quercus virginiana,17,4,1,2,3,0,1,,3,2,,1,,1,,,1,,0,,,1,1,1,,Sikes Hall,2,934,NE 16th St,0,-99.7063,32.466,518,5/3/2014 23:10,0,1,,1,1,1,,1,,QUVI,18780,7662.24,30.86000061,11.31000042,-2.720000029,3.660000086,77.51999664,120.6299973,-99.70634808,32.46596777
534,Crapemyrtle,Common crapemyrtle,Lagerstroemia spp,2,1,0,4,2,,,,,,,,,,,,,,,,,,,,,Sherrod Building,3,,,,-99.7095,32.4694,519,5/4/2014 16:55,0,,,1,,,,,,LA6,255,117.045,0.430000007,0.49000001,0.170000002,0.029999999,0.360000014,1.480000019,-99.70950235,32.46938371
535,Oak,Shumard red oak,Quercus virginiana,13,4,1,1,2,1,0,,0,2,,0,,0,,,0,,0,,,0,0,1,poor architecture,Sikes Hall,3,934,NE 16th St,0,-99.7062,32.4662,520,5/3/2014 23:10,0,0,,1,0,0,,1,,QUVI,10980,3359.88,30.86000061,11.31000042,-2.720000029,3.660000086,77.51999664,120.6299973,-99.70623274,32.4661737
536,Crapemyrtle,Common crapemyrtle,Lagerstroemia spp,2,1,0,4,2,,,,,,,,,,,,,,,,,,,,,Sherrod Building,3,,,,-99.7095,32.4693,521,5/4/2014 16:55,0,,,1,,,,,,LA6,255,117.045,0.430000007,0.49000001,0.170000002,0.029999999,0.360000014,1.480000019,-99.70953454,32.46932714
537,Crapemyrtle,Common crapemyrtle,Lagerstroemia spp,2,1,0,4,2,,,,,,,,,,,,,,,,,,,,,Sherrod Building,3,,,,-99.7095,32.4694,522,5/4/2014 16:55,0,,,1,,,,,,LA6,255,78.03,0.430000007,0.49000001,0.170000002,0.029999999,0.360000014,1.480000019,-99.70952918,32.46936334
538,Crapemyrtle,Common crapemyrtle,Lagerstroemia spp,2,1,0,4,2,,,,,,,,,,,,,,,,,,,,,Sherrod Building,3,,,,-99.7095,32.4693,523,5/4/2014 16:55,0,,,1,,,,,,LA6,255,78.03,0.430000007,0.49000001,0.170000002,0.029999999,0.360000014,1.480000019,-99.70953722,32.46930677
539,Pine,Afghan pine,Pinus eldarica,14,4,1,1,1,0,0,,0,0,,,,,,,,,,,,,,,,Sherrod Building,3,,,,-99.7096,32.4694,524,5/4/2014 16:55,0,,,0,,,,,,PIEL2,12735,5845.365,23.26000023,10.03999996,4.139999866,2.74000001,29.82999992,70,-99.70959087,32.46937013
540,Oak,Shumard red oak,Quercus virginiana,14,4,2,1,2,3,0,,0,2,,0,,0,,,0,,0,,,0,0,1,,Sikes Hall,3,934,NE 16th St,0,-99.7062,32.4663,525,5/3/2014 23:10,0,0,,1,0,1,,0,,QUVI,12735,7793.82,30.86000061,11.31000042,-2.720000029,3.660000086,77.51999664,120.6299973,-99.70622738,32.46632758
541,Pine,Afghan pine,Pinus eldarica,19,5,1,1,1,0,0,,0,0,,,,,,,,,,,,,,,,Sherrod Building,3,,,,-99.7096,32.4693,526,5/4/2014 16:55,0,,,0,,,,,,PIEL2,23460,10768.14,46.25999832,16.21999931,6.610000134,4.510000229,38.77000046,112.3600006,-99.70961232,32.46930451
542,Oak,Live oak,Quercus virginiana,10,3,1,2,2,3,0,,0,2,,0,,0,,,0,,0,,,0,0,0,,Sikes Hall,3,934,NE 16th St,0,-99.7062,32.4668,527,5/3/2014 23:10,0,0,,0,1,1,,0,,QUVI,6495,1987.47,9.149999619,4.820000172,0.200000003,1.690000057,46.43999863,62.31000137,-99.70621665,32.46677566
543,Pine,Afghan pine,Pinus eldarica,14,4,1,1,1,0,0,,0,0,,,,,,,,,,,,,,,,Sherrod Building,2,,,,-99.7097,32.4693,528,5/4/2014 16:55,0,,,0,,,,,,PIEL2,12735,5845.365,23.26000023,10.03999996,4.139999866,2.74000001,29.82999992,70,-99.7097062,32.46929772
544,Pine,Afghan pine,Pinus eldarica,15,4,1,1,1,0,0,,0,0,,,,,,,,,,,,,,,,Sherrod Building,2,,,,-99.7098,32.4693,529,5/4/2014 16:55,0,,,0,,,,,,PIEL2,14620,4473.72,23.26000023,10.03999996,4.139999866,2.74000001,29.82999992,70,-99.70975716,32.46929998
545,Pine,Afghan pine,Pinus eldarica,16,4,1,1,1,0,0,,0,0,,,,,,,,,,,,,,,,Sherrod Building,2,,,,-99.7098,32.4693,530,5/4/2014 16:55,0,,,0,1,,,,,PIEL2,16635,5090.31,23.26000023,10.03999996,4.139999866,2.74000001,29.82999992,70,-99.7098269,32.46929319
546,Pine,Afghan pine,Pinus eldarica,11,3,1,1,1,0,0,,0,0,,,,,,,,,,,,,,,,Sherrod Building,2,,,,-99.7099,32.4693,531,5/4/2014 16:55,0,,,0,0,,,,,PIEL2,7860,3607.74,7.449999809,3.75999999,1.870000005,1.059999943,16.71999931,30.87000084,-99.70990469,32.46928867
547,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,926,NE 16th St,,-99.7072,32.4663,532,5/4/2014 17:07,0,,,,,,,,,,,,,,,,,,-99.70721175,32.46626875
548,Baldcypress,Baldcypress,Taxodium distichum,9,3,1,1,2,0,1,,5,2,,0,,0,,,0,,0,,,1,1,0,,Williams Performing Arts Center,4,934,NE 16th St,0,-99.7059,32.4677,533,5/3/2014 23:10,0,0,,0,0,0,,0,,TADI,5260,1609.56,10.32999992,4.960000038,-0.569999993,1.720000029,38.34999847,54.77999878,-99.70591892,32.46770574
549,Baldcypress,Baldcypress,Taxodium distichum,8,3,1,1,2,0,1,,5,2,,0,,0,,,0,,0,,,1,1,0,,Williams Performing Arts Center,4,934,NE 16th St,0,-99.7059,32.4676,534,5/3/2014 23:10,0,0,,1,0,0,,0,,TADI,4155,1907.145,10.32999992,4.960000038,-0.569999993,1.720000029,38.34999847,54.77999878,-99.70591624,32.46761748
550,Baldcypress,Baldcypress,Taxodium distichum,8,3,1,1,2,0,1,,5,2,,0,,0,,,0,,0,,,0,0,0,,Williams Performing Arts Center,4,934,NE 16th St,0,-99.7059,32.4676,535,5/3/2014 23:10,0,0,,1,0,0,,0,,TADI,4155,1271.43,10.32999992,4.960000038,-0.569999993,1.720000029,38.34999847,54.77999878,-99.7059216,32.46756996
551,Baldcypress,Baldcypress,Taxodium distichum,8,3,1,1,2,0,1,,5,2,,0,,0,,,0,,0,,,0,0,0,,Williams Performing Arts Center,4,934,NE 16th St,0,-99.7059,32.4675,536,5/3/2014 23:10,0,0,,1,0,0,,0,,TADI,4155,1695.24,10.32999992,4.960000038,-0.569999993,1.720000029,38.34999847,54.77999878,-99.70591624,32.46749302
552,Baldcypress,Baldcypress,Taxodium distichum,9,3,1,1,2,0,1,,5,2,,0,,0,,,0,,0,,,1,1,0,,Williams Performing Arts Center,4,934,NE 16th St,0,-99.7059,32.4674,537,5/3/2014 23:10,0,0,,1,0,0,,0,,TADI,5260,2414.34,10.32999992,4.960000038,-0.569999993,1.720000029,38.34999847,54.77999878,-99.70591088,32.46742739
553,Baldcypress,Baldcypress,Taxodium distichum,10,3,1,1,2,0,1,,5,2,,0,,0,,,0,,0,,,1,1,0,,Williams Performing Arts Center,4,934,NE 16th St,0,-99.7059,32.4673,538,5/3/2014 23:10,0,0,,1,0,0,,0,,TADI,6495,2649.96,10.32999992,4.960000038,-0.569999993,1.720000029,38.34999847,54.77999878,-99.70590015,32.46737535
554,Baldcypress,Baldcypress,Taxodium distichum,8,3,1,1,2,0,1,,5,2,,0,,0,,,0,,0,,,1,0,0,,Williams Performing Arts Center,4,934,NE 16th St,0,-99.7059,32.4673,539,5/3/2014 23:10,0,0,,1,0,0,,0,,TADI,4155,1907.145,10.32999992,4.960000038,-0.569999993,1.720000029,38.34999847,54.77999878,-99.70591892,32.46730972
555,Baldcypress,Baldcypress,Taxodium distichum,11,3,1,1,2,0,1,,5,2,,0,,0,,,0,,0,,,1,0,0,,Williams Performing Arts Center,4,934,NE 16th St,0,-99.7059,32.4672,540,5/3/2014 23:10,0,0,,1,0,0,,0,,TADI,7860,4810.32,10.32999992,4.960000038,-0.569999993,1.720000029,38.34999847,54.77999878,-99.70591892,32.46723052
556,Baldcypress,Baldcypress,Taxodium distichum,9,3,1,1,2,0,1,,5,2,,0,,0,,,0,,0,,,1,0,0,,Williams Performing Arts Center,4,934,NE 16th St,0,-99.7059,32.4672,541,5/3/2014 23:10,0,0,,1,0,0,,0,,TADI,5260,2414.34,10.32999992,4.960000038,-0.569999993,1.720000029,38.34999847,54.77999878,-99.7059216,32.46716941
557,Baldcypress,Baldcypress,Taxodium distichum,8,3,1,1,2,0,1,,5,2,,0,,0,,,0,,0,,,0,0,0,,Williams Performing Arts Center,4,934,NE 16th St,0,-99.7059,32.4671,542,5/3/2014 23:10,0,0,,1,0,0,,0,,TADI,4155,1907.145,10.32999992,4.960000038,-0.569999993,1.720000029,38.34999847,54.77999878,-99.7059216,32.46710379
558,Baldcypress,Baldcypress,Taxodium distichum,9,3,1,1,2,0,1,,5,2,,0,,0,,,0,,0,,,1,1,0,,Williams Performing Arts Center,4,934,NE 16th St,0,-99.7059,32.467,543,5/3/2014 23:10,0,0,,1,0,0,,0,,TADI,5260,2414.34,10.32999992,4.960000038,-0.569999993,1.720000029,38.34999847,54.77999878,-99.70591624,32.4670359
559,Baldcypress,Baldcypress,Taxodium distichum,9,3,1,1,2,0,1,,5,2,,0,,0,,,0,,0,,,1,1,0,,Williams Performing Arts Center,4,934,NE 16th St,0,-99.7059,32.467,544,5/3/2014 23:10,0,0,,1,0,0,,0,,TADI,5260,2414.34,10.32999992,4.960000038,-0.569999993,1.720000029,38.34999847,54.77999878,-99.70591356,32.46697706
560,Baldcypress,Baldcypress,Taxodium distichum,8,3,1,1,2,0,1,,5,2,,0,,0,,,0,,0,,,1,1,0,,Williams Performing Arts Center,4,934,NE 16th St,0,-99.7059,32.4669,545,5/3/2014 23:10,0,0,,0,0,0,,0,,TADI,4155,1907.145,10.32999992,4.960000038,-0.569999993,1.720000029,38.34999847,54.77999878,-99.70590819,32.46690917
561,Baldcypress,Baldcypress,Taxodium distichum,10,3,1,1,2,0,1,,5,2,,0,,0,,,0,,0,,,1,1,0,,Williams Performing Arts Center,4,934,NE 16th St,0,-99.7059,32.4668,546,5/3/2014 23:10,0,0,,1,0,0,,0,,TADI,6495,2649.96,10.32999992,4.960000038,-0.569999993,1.720000029,38.34999847,54.77999878,-99.70591892,32.46684355
562,Baldcypress,Baldcypress,Taxodium distichum,9,3,1,1,2,0,1,,5,2,,0,,0,,,0,,0,,,1,1,0,,Williams Performing Arts Center,4,934,NE 16th St,0,-99.7059,32.4667,547,5/3/2014 23:10,0,0,,1,0,0,,0,,TADI,5260,2146.08,10.32999992,4.960000038,-0.569999993,1.720000029,38.34999847,54.77999878,-99.70592429,32.46672587
563,Baldcypress,Baldcypress,Taxodium distichum,8,3,1,1,2,0,1,,5,2,,0,,0,,,0,,0,,,1,1,0,,Williams Performing Arts Center,4,934,NE 16th St,0,-99.7059,32.4667,548,5/3/2014 23:10,0,0,,1,0,0,,0,,TADI,4155,1695.24,10.32999992,4.960000038,-0.569999993,1.720000029,38.34999847,54.77999878,-99.70592965,32.4666693
564,Baldcypress,Baldcypress,Taxodium distichum,8,3,1,1,2,0,1,,5,2,,0,,1,,,0,,0,,,1,1,0,,Williams Performing Arts Center,4,934,NE 16th St,0,-99.7059,32.4666,549,5/3/2014 23:10,0,0,,1,0,0,,0,,TADI,4155,1695.24,10.32999992,4.960000038,-0.569999993,1.720000029,38.34999847,54.77999878,-99.70592965,32.46658783
565,Baldcypress,Baldcypress,Taxodium distichum,9,3,1,1,2,0,1,,5,2,,0,,0,,,0,,0,,,1,0,0,,Williams Performing Arts Center,4,934,NE 16th St,0,-99.7059,32.4665,550,5/3/2014 23:10,0,0,,1,0,0,,0,,TADI,5260,2414.34,10.32999992,4.960000038,-0.569999993,1.720000029,38.34999847,54.77999878,-99.70591624,32.46654031
566,Baldcypress,Baldcypress,Taxodium distichum,8,3,1,1,2,0,1,,5,2,,0,,0,,,0,,0,,,1,1,0,,Williams Performing Arts Center,4,934,NE 16th St,0,-99.7059,32.4665,551,5/3/2014 23:10,0,0,,1,0,0,,0,,TADI,4155,1907.145,10.32999992,4.960000038,-0.569999993,1.720000029,38.34999847,54.77999878,-99.70591356,32.46647242
567,Baldcypress,Baldcypress,Taxodium distichum,9,3,1,1,2,0,1,,5,2,,0,,0,,,0,,0,,,1,0,0,,Williams Performing Arts Center,4,934,NE 16th St,0,-99.7059,32.4664,552,5/3/2014 23:10,0,0,,1,0,0,,0,,TADI,5260,1609.56,10.32999992,4.960000038,-0.569999993,1.720000029,38.34999847,54.77999878,-99.7059216,32.46640226
568,Baldcypress,Baldcypress,Taxodium distichum,11,3,1,1,2,0,1,,5,2,,0,,0,,,0,,0,,,1,1,0,,Williams Performing Arts Center,4,934,NE 16th St,0,-99.7059,32.4663,553,5/3/2014 23:10,0,0,,1,0,0,,0,,TADI,7860,3607.74,10.32999992,4.960000038,-0.569999993,1.720000029,38.34999847,54.77999878,-99.70592697,32.46634342
569,Baldcypress,Baldcypress,Taxodium distichum,9,3,1,1,2,0,1,,5,2,,0,,0,,,0,,0,,,1,1,0,,Williams Performing Arts Center,4,934,NE 16th St,0,-99.7059,32.4663,554,5/3/2014 23:10,0,0,,1,0,0,,0,,TADI,5260,2414.34,10.32999992,4.960000038,-0.569999993,1.720000029,38.34999847,54.77999878,-99.7059216,32.46626648
570,Baldcypress,Baldcypress,Taxodium distichum,8,3,1,1,2,0,1,,5,2,,0,,0,,,0,,0,,,0,0,0,,Williams Performing Arts Center,4,934,NE 16th St,0,-99.7059,32.4662,555,5/3/2014 23:10,0,0,,1,0,0,,0,,TADI,4155,1907.145,10.32999992,4.960000038,-0.569999993,1.720000029,38.34999847,54.77999878,-99.70591892,32.46619407
571,Baldcypress,Baldcypress,Taxodium distichum,8,3,1,1,2,0,1,,3,2,,0,,0,,,0,,0,,,1,1,0,,Williams Performing Arts Center,4,934,NE 16th St,0,-99.7059,32.466,556,5/3/2014 23:10,0,0,,1,0,0,,0,,TADI,4155,2260.32,10.32999992,4.960000038,-0.569999993,1.720000029,38.34999847,54.77999878,-99.70591624,32.46598134
572,Baldcypress,Baldcypress,Taxodium distichum,8,3,1,1,2,0,1,,3,2,,0,,0,,,0,,0,,,1,1,0,,Williams Performing Arts Center,4,934,NE 16th St,0,-99.7059,32.4659,557,5/3/2014 23:10,0,0,,1,0,0,,0,,TADI,4155,1695.24,10.32999992,4.960000038,-0.569999993,1.720000029,38.34999847,54.77999878,-99.70591356,32.46592477
573,Baldcypress,Baldcypress,Taxodium distichum,8,3,1,1,2,0,1,,3,2,,0,,0,,,0,,0,,,1,0,0,,Williams Performing Arts Center,4,934,NE 16th St,0,-99.7059,32.4659,558,5/3/2014 23:10,0,0,,1,0,0,,0,,TADI,4155,2260.32,10.32999992,4.960000038,-0.569999993,1.720000029,38.34999847,54.77999878,-99.70585991,32.46591798
574,Baldcypress,Baldcypress,Taxodium distichum,10,3,1,1,2,0,1,,3,2,,0,,0,,,0,,0,,,1,0,0,,Williams Performing Arts Center,4,934,NE 16th St,0,-99.7059,32.466,559,5/3/2014 23:10,0,0,,1,0,0,,0,,TADI,6495,2649.96,10.32999992,4.960000038,-0.569999993,1.720000029,38.34999847,54.77999878,-99.70587064,32.46597908
575,Baldcypress,Baldcypress,Taxodium distichum,10,3,1,1,2,0,1,,3,2,,0,,0,,,0,,0,,,1,1,0,,Williams Performing Arts Center,4,934,NE 16th St,0,-99.7059,32.4662,560,5/3/2014 23:10,0,0,,1,0,0,,0,,TADI,6495,2649.96,10.32999992,4.960000038,-0.569999993,1.720000029,38.34999847,54.77999878,-99.70586796,32.46618501
576,Baldcypress,Baldcypress,Taxodium distichum,9,3,1,1,2,0,1,,3,2,,0,,0,,,0,,0,,,1,1,0,,Williams Performing Arts Center,4,934,NE 16th St,0,-99.7059,32.4663,561,5/3/2014 23:10,0,0,,1,0,0,,0,,TADI,5260,2146.08,10.32999992,4.960000038,-0.569999993,1.720000029,38.34999847,54.77999878,-99.70587064,32.46625743
